UTC:,2022-07-12 00:55:05.858986
1657587305.9188251,21766,1364,1347,1367,21900,22031,22034,22030,22028,22023,22027,22026,22023,22025,22023,21952,
1657587305.9188251,A
1657587305.9198225,21793,1364,1348,1367,21896,22032,22032,22029,22029,22009,22026,22026,22028,22026,22022,21952,
1657587305.9198225,A
1657587305.9208198,21764,1364,1348,1368,21903,22031,22029,22027,22031,22024,22032,22024,22768,22025,22029,21958,
1657587305.9208198,A
1657587305.9218469,21772,1364,1348,1368,21897,22030,22034,22030,22032,22029,22032,22031,22033,22023,22019,22650,
1657587305.9218469,A
1657587305.9243064,21772,1364,1346,1367,21898,22034,22035,22029,22035,22026,22026,22029,22029,22023,22024,21951,
1657587305.9243064,A
1657587305.9263046,21763,1362,1347,1367,21897,22029,22029,22029,22034,22025,22024,22281,22028,22027,22026,21957,
1657587305.9263046,A
1657587305.927301,21769,1364,1348,1369,21899,22040,22038,22038,22035,22031,22026,22031,22028,22029,22116,21954,
1657587305.927301,A
1657587305.928298,21772,1363,1348,1368,21897,22028,22026,22029,22026,22024,22033,22033,22035,22026,22022,21951,
1657587305.928298,A
1657587305.9302928,21768,1363,1347,1369,21898,22033,22030,22028,22027,22026,22030,22029,22028,22028,22026,21960,
1657587305.9302928,A
1657587305.9312901,21765,1364,1348,1368,21903,22037,22035,22033,22034,22027,22029,22031,22029,22512,22026,21955,
1657587305.9312901,A
1657587305.9322872,21768,1364,1348,1367,21900,22034,22035,22029,22032,22026,22029,22028,22026,22027,22024,21952,
1657587305.9322872,A
1657587305.9332845,22599,1363,1348,1368,21900,22034,22029,22032,22033,22026,22029,22031,22030,22029,22026,21958,
1657587305.9332845,A
1657587305.9343123,21765,1364,1347,1368,21899,22032,22032,22031,22031,22029,22031,22035,22042,22027,22029,21959,
1657587305.9343123,A
1657587305.9353104,21772,1363,1348,1368,21900,22035,22032,22038,22028,22030,22030,22031,22030,22032,22032,22006,
1657587305.9353104,A
1657587305.936306,21771,1364,1347,1368,21903,22036,22035,22037,22031,22034,22033,22035,22035,22033,22029,21961,
1657587305.9373028,A
1657587305.9383001,21769,1363,1346,1370,21908,22037,22035,22034,22034,22035,22031,22035,22034,22033,22032,21961,
1657587305.9383001,A
1657587305.939297,21772,1363,1347,1368,21906,22034,22035,22036,22032,22030,22031,22032,22031,22034,22524,21958,
1657587305.939297,A
1657587305.9413056,21768,1362,1346,1367,21902,22039,22035,22033,22036,22031,22034,22035,22035,22030,22030,21955,
1657587305.9413056,A
1657587305.9422617,21772,1363,1348,1368,21903,22032,22035,22033,22033,22029,22032,22031,22033,22029,22023,21953,
1657587305.9422617,A
1657587305.94329,21768,1364,1348,1368,21898,22033,22030,22032,22031,22031,22032,22032,22031,22247,22026,21961,
1657587305.94329,A
1657587305.9452858,21768,1363,1347,1368,21903,22729,22032,22032,22032,22026,22032,22031,22034,22033,22033,21964,
1657587305.9452858,A
1657587305.9462504,21836,1364,1348,1369,21903,22032,22032,22038,22027,22035,22029,22032,22029,22031,22034,21955,
1657587305.9462504,A
1657587305.947249,21777,1363,1347,1367,21903,22035,22035,22032,22034,22031,22032,22035,22038,22033,22028,21960,
1657587305.947249,A
1657587305.948277,21772,1364,1348,1367,22103,22036,22035,22030,22032,22027,22029,22031,22029,22030,22029,22382,
1657587305.948277,A
1657587305.9492712,21771,1364,1347,1368,21908,22039,22037,22036,22039,22035,22033,22032,22032,22032,22029,21955,
1657587305.9492712,A
1657587305.951257,21780,1364,1348,1369,21903,22036,22034,22036,22034,22036,22029,22033,22028,22029,22026,21958,
1657587305.951257,A
1657587305.9522629,21768,1364,1348,1370,21908,22042,22035,22037,22037,22034,22035,22036,22035,22033,22031,21960,
1657587305.9522629,A
1657587305.9532506,21772,1362,1347,1367,21907,22039,22802,22040,22038,22032,22032,22033,22034,22033,22028,21961,
1657587305.9532506,A
1657587305.954252,21774,1364,1347,1368,21903,22041,22038,22037,22035,22034,22035,22033,22034,22035,22029,21961,
1657587305.954252,A
1657587305.9572213,21772,1362,1347,1367,21905,22039,22042,22036,22033,22029,22033,22032,22035,22030,22029,21958,
1657587305.9572213,A
1657587305.9582202,21772,1364,1349,1367,21909,22087,22031,22033,22032,22031,22035,22033,22031,22032,22032,21963,
1657587305.9582202,A
1657587305.960213,21935,1364,1345,1368,21903,22035,22031,22039,22032,22037,22029,22031,22032,22030,22029,21958,
1657587305.960213,A
1657587305.96122,21768,1364,1347,1369,21902,22032,22032,22030,22031,22029,22029,22032,22031,22029,22026,21957,
1657587305.9622083,A
1657587305.9632313,21776,1364,1348,1369,22682,22038,22041,22029,22030,22029,22031,22033,22030,22030,22027,21954,
1657587305.9632313,A
1657587305.9642317,21770,1363,1348,1369,21903,22033,22030,22724,22034,22032,22035,22035,22033,22032,22032,21961,
1657587305.9642317,A
1657587305.9652395,21769,1363,1347,1368,21911,22036,22034,22030,22031,22029,22027,22038,22029,22039,22026,21955,
1657587305.9652395,A
1657587305.9662244,21776,1364,1348,1367,21901,22035,22034,22032,22033,22030,22029,22029,22032,22030,22036,21958,
1657587305.9662244,A
1657587305.9672215,21779,1364,1347,1367,21906,22041,22039,22037,22036,22035,22035,22035,22039,22035,22030,21962,
1657587305.9672215,A
1657587305.968217,21769,1363,1347,1370,21907,22036,22036,22038,22034,22030,22033,22034,22035,22035,22032,21961,
1657587305.968217,A
1657587305.969217,21772,1363,1347,1369,21907,22039,22035,22032,22032,22038,22039,22039,22040,22035,22027,21964,
1657587305.969217,A
1657587305.9702148,21771,1363,1347,1369,21907,22791,22039,22032,22035,22030,22032,22030,22031,22030,22030,21961,
1657587305.9702148,A
1657587305.9712126,21777,1364,1347,1368,21906,22038,22037,22037,22735,22037,22034,22036,22038,22033,22031,21963,
1657587305.9712126,A
1657587305.973207,21771,1364,1348,1370,21902,22033,22035,22039,22039,22034,22036,22038,22041,22036,22029,21968,
1657587305.973207,A
1657587305.9742107,21778,1363,1347,1367,22395,22035,22035,22030,22041,22037,22037,22039,22037,22036,22030,21967,
1657587305.9742107,A
1657587305.9752045,21772,1364,1347,1367,21902,22035,22031,22143,22032,22034,22032,22039,22030,22035,22028,21957,
1657587305.9752045,A
1657587305.9762013,21775,1362,1348,1369,21903,22034,22042,22030,22040,22038,22048,22035,22036,22035,22033,21963,
1657587305.9762013,A
1657587305.9771967,21775,1364,1347,1369,21905,22035,22033,22033,22033,22029,22031,22037,22031,22035,22030,21960,
1657587305.9771967,A
1657587305.9791982,21771,1364,1346,1367,21903,22037,22752,22033,22039,22032,22034,22029,22039,22036,22035,21965,
1657587305.9791982,A
1657587305.9801972,21778,1364,1348,1368,21904,22042,22034,22039,22030,22727,22033,22031,22032,22032,22029,21955,
1657587305.9801972,A
1657587305.9811857,21778,1364,1348,1368,21903,22036,22034,22035,22042,22038,22036,22035,22037,22037,22032,21961,
1657587305.9811857,A
1657587305.9821825,21776,1363,1347,1368,21905,22235,22036,22032,22033,22033,22032,22032,22033,22033,22030,21960,
1657587305.9821825,A
1657587305.9831798,21773,1364,1347,1367,21907,22038,22036,22035,22103,22033,22034,22036,22038,22031,22028,21957,
1657587305.9831798,A
1657587305.984177,21768,1364,1347,1367,21901,22035,22033,22039,22041,22029,22035,22235,22041,22040,22035,21956,
1657587305.984177,A
1657587305.985146,21774,1364,1347,1370,21907,22034,22035,22032,22032,22033,22038,22032,22032,22033,22029,21963,
1657587305.985146,A
1657587305.9861436,21770,1364,1347,1367,21910,22042,22033,22523,22040,22038,22033,22032,22037,22035,22029,21961,
1657587305.9861436,A
1657587305.9871686,21772,1364,1348,1370,21910,22044,22041,22038,22041,22039,22703,22039,22036,22036,22031,21961,
1657587305.9871686,A
1657587305.9891644,21772,1364,1347,1368,21908,22034,22039,22037,22034,22035,22039,22040,22030,22039,22032,21957,
1657587305.9891644,A
1657587305.9901452,21772,1364,1346,1370,21911,22042,22161,22032,22032,22039,22038,22041,22030,22030,22027,21963,
1657587305.9901452,A
1657587305.9911675,21775,1364,1348,1368,21911,22039,22039,22036,22036,22167,22039,22039,22039,22036,22036,21965,
1657587305.9911675,A
1657587305.9921284,21775,1364,1347,1367,21911,22043,22042,22039,22036,22037,22035,22031,22235,22031,22036,21958,
1657587305.9921284,A
1657587305.9941604,21772,1363,1348,1368,21910,22036,22039,22040,22032,22037,22035,22030,22038,22036,22031,21962,
1657587305.9941604,A
1657587305.9951196,21775,1363,1348,1368,21903,22042,22042,22031,22232,22039,22041,22042,22039,22038,22026,21967,
1657587305.9951196,A
1657587305.9961462,21778,1363,1348,1369,21903,22045,22044,22041,22033,22035,22035,22825,22039,22038,22035,21966,
1657587305.9961462,A
1657587305.9971435,21778,1362,1348,1369,21905,22035,22033,22039,22040,22036,22039,22038,22038,22038,22765,21958,
1657587305.9971435,A
1657587305.9981413,21776,1362,1347,1368,21906,22043,22042,22023,22040,22039,22040,22041,22039,22039,22035,21965,
1657587305.9981413,A
1657587305.99914,21775,1363,1348,1370,21910,22043,22042,22036,22033,22038,22144,22041,22032,22039,22035,21964,
1657587305.99914,A
1657587306.0001264,21778,1364,1348,1370,21903,22036,22034,22030,22034,22031,22035,22035,22033,22195,22031,21960,
1657587306.0001264,A
1657587306.001133,21778,1364,1348,1369,21907,22039,22039,22037,22035,22032,22031,22035,22032,22039,22035,21960,
1657587306.001133,A
1657587306.0021284,21770,1363,1348,1368,21905,22039,22037,22036,22035,22454,22035,22035,22034,22034,22029,21961,
1657587306.0031276,A
1657587306.0041256,21781,1364,1347,1368,21911,22047,22041,22031,22034,22035,22034,22036,22706,22036,22032,21959,
1657587306.0041256,A
1657587306.0051227,21772,1363,1346,1368,21905,22041,22040,22036,22035,22032,22032,22033,22033,22032,22027,22800,
1657587306.0051227,A
1657587306.006091,21780,1364,1348,1369,21901,22035,22042,22039,22039,22035,22041,22041,22039,22038,22033,21957,
1657587306.006091,A
1657587306.0070884,21783,1364,1348,1367,21906,22039,22036,22033,22035,22031,22039,22229,22033,22035,22030,21959,
1657587306.0070884,A
1657587306.0081139,21769,1364,1348,1367,21904,22038,22036,22033,22032,22040,22033,22031,22039,22035,22046,21958,
1657587306.0081139,A
1657587306.0091114,21778,1364,1348,1369,21903,22036,22032,22037,22033,22039,22041,22042,22040,22040,22027,21967,
1657587306.0091114,A
1657587306.011106,21775,1364,1349,1368,21905,22038,22035,22032,22035,22032,22200,22033,22032,22039,22027,21966,
1657587306.011106,A
1657587306.0121062,21775,1363,1348,1368,21913,22035,22035,22032,22034,22032,22033,22030,22033,22724,22029,21957,
1657587306.0121062,A
1657587306.013072,21778,1363,1348,1367,21913,22038,22032,22032,22032,22030,22032,22032,22032,22039,22027,21966,
1657587306.013072,A
1657587306.0140965,22509,1363,1348,1370,21907,22039,22037,22039,22038,22030,22033,22034,22035,22032,22026,21959,
1657587306.0140965,A
1657587306.015095,21772,1362,1349,1368,21904,22036,22038,22033,22035,22033,22031,22031,22097,22040,22035,21967,
1657587306.015095,A
1657587306.0166025,21778,1362,1348,1367,21908,22045,22042,22034,22032,22033,22041,22033,22041,22042,22038,21968,
1657587306.0166025,A
1657587306.0170965,21781,1364,1346,1369,21907,22039,22035,22042,22039,22033,22034,22033,22037,22032,22029,21957,
1657587306.0170965,A
1657587306.0180917,21781,1364,1348,1367,21905,22036,22035,22037,22035,22035,22035,22202,22035,22033,22026,21960,
1657587306.0180917,A
1657587306.0190563,21777,1363,1348,1367,21912,22046,22037,22034,22033,22032,22031,22035,22042,22041,22794,21966,
1657587306.0200534,A
1657587306.0211017,21772,1364,1348,1368,21906,22037,22035,22036,22037,22033,22033,22033,22030,22032,22029,21960,
1657587306.0211017,A
1657587306.0220757,21778,1363,1348,1370,21904,22038,22037,22038,22036,22033,22036,22037,22034,22033,22029,21957,
1657587306.0220757,A
1657587306.0230455,21778,1363,1348,1367,21910,22040,22039,22037,22037,22037,22035,22038,22037,22511,22035,21964,
1657587306.0230455,A
1657587306.0240722,21772,1362,1348,1369,21913,22038,22042,22034,22035,22040,22038,22039,22039,22039,22027,21962,
1657587306.0240722,A
1657587306.0250683,21891,1364,1347,1367,21905,22038,22035,22037,22036,22036,22042,22042,22032,22033,22033,21961,
1657587306.0250683,A
1657587306.0260375,21772,1364,1347,1368,21912,22045,22041,22037,22040,22041,22038,22041,22038,22042,22027,21958,
1657587306.0260375,A
1657587306.027034,21780,1362,1348,1370,21980,22038,22043,22042,22039,22039,22042,22039,22037,22038,22035,22702,
1657587306.027034,A
1657587306.0290582,21778,1364,1348,1368,21910,22044,22035,22042,22037,22033,22038,22031,22032,22040,22035,21968,
1657587306.0290582,A
1657587306.0300548,21776,1363,1347,1369,21903,22045,22041,22033,22042,22030,22039,22040,22032,22031,22028,21965,
1657587306.0300548,A
1657587306.0310538,21778,1361,1348,1369,21915,22044,22034,22033,22043,22032,22041,22032,22039,22042,22216,21958,
1657587306.0310538,A
1657587306.032049,21775,1364,1349,1368,21911,22045,22044,22043,22043,22041,22042,22038,22041,22040,22035,21968,
1657587306.032049,A
1657587306.0330193,21778,1364,1348,1368,21912,22045,22044,22042,22034,22029,22039,22039,22041,22033,22035,21958,
1657587306.0330193,A
1657587306.0340436,21776,1364,1348,1369,21904,22039,22042,22042,22039,22032,22039,22033,22037,22042,22036,21964,
1657587306.0340436,A
1657587306.035054,21776,1363,1348,1368,21904,22214,22034,22034,22043,22032,22033,22030,22034,22035,22029,21968,
1657587306.035054,A
1657587306.0360403,22254,1364,1348,1368,21914,22035,22042,22042,22032,22038,22030,22042,22040,22039,22034,21966,
1657587306.0360403,A
1657587306.0370352,21778,1363,1349,1368,21906,22036,22033,22032,22035,22034,22030,22036,22035,22033,22030,21961,
1657587306.0370352,A
1657587306.038033,21779,1364,1347,1368,22328,22039,22039,22032,22033,22032,22032,22032,22040,22040,22035,21965,
1657587306.038033,A
1657587306.0400352,21775,1363,1347,1368,21909,22042,22041,22044,22041,22038,22039,22041,22039,22037,22034,21962,
1657587306.0400352,A
1657587306.0409977,21776,1364,1347,1368,21909,22042,22040,22036,22036,22033,22038,22034,22039,22041,22037,21961,
1657587306.0409977,A
1657587306.0420244,21776,1363,1347,1367,21910,22042,22042,22040,22041,22037,22039,22035,22039,22039,22029,21963,
1657587306.0420244,A
1657587306.0430205,21774,1362,1348,1368,21910,22036,22235,22033,22042,22029,22042,22038,22035,22039,22036,21965,
1657587306.0430205,A
1657587306.0440202,21775,1364,1345,1367,21909,22044,22040,22042,22042,22037,22038,22039,22039,22037,22029,21961,
1657587306.0440202,A
1657587306.0450149,21774,1363,1348,1369,21912,22045,22043,22043,22041,22036,22036,22039,22039,22032,22035,21968,
1657587306.0450149,A
1657587306.0459957,21778,1362,1348,1369,21909,22854,22041,22037,22037,22037,22035,22042,22040,22037,22033,21961,
1657587306.0470088,A
1657587306.048009,21771,1364,1347,1368,21910,22042,22037,22038,22756,22039,22038,22037,22036,22039,22035,21964,
1657587306.048009,A
1657587306.049004,21775,1364,1347,1368,21910,22040,22039,22038,22043,22039,22039,22040,22041,22042,22039,21966,
1657587306.049004,A
1657587306.0500038,21777,1363,1348,1369,22003,22041,22040,22036,22037,22035,22037,22039,22039,22038,22035,21963,
1657587306.0500038,A
1657587306.0509703,21775,1362,1348,1368,21907,22041,22037,22160,22038,22035,22038,22040,22039,22040,22035,21966,
1657587306.0509703,A
1657587306.052001,21778,1365,1347,1368,21907,22042,22041,22040,22039,22037,22039,22039,22038,22037,22033,21965,
1657587306.052001,A
1657587306.0529647,21776,1363,1348,1369,21912,22045,22047,22042,22038,22041,22040,22032,22032,22040,22034,21967,
1657587306.0529647,A
1657587306.053962,21778,1363,1348,1368,21904,22045,22711,22037,22033,22041,22041,22042,22032,22032,22039,21958,
1657587306.053962,A
1657587306.0549967,21777,1363,1348,1368,21906,22045,22034,22042,22039,22872,22044,22034,22034,22042,22030,21958,
1657587306.0559561,A
1657587306.0569546,21775,1362,1348,1370,21907,22044,22044,22042,22039,22036,22039,22037,22037,22038,22036,21963,
1657587306.0569546,A
1657587306.0579846,21774,1364,1347,1368,21912,22131,22035,22042,22040,22042,22042,22032,22042,22032,22035,21968,
1657587306.0579846,A
1657587306.0589774,21776,1362,1347,1367,21904,22044,22045,22034,22032,22031,22040,22040,22036,22039,22036,21967,
1657587306.0589774,A
1657587306.0599725,21776,1364,1348,1370,21913,22045,22034,22033,22039,22037,22039,22033,22041,22042,22037,21961,
1657587306.0599725,A
1657587306.0609434,21778,1364,1348,1367,22071,22048,22043,22038,22042,22039,22041,22041,22040,22042,22038,21965,
1657587306.0609434,A
1657587306.061971,21778,1363,1350,1367,21903,22044,22045,22373,22038,22035,22035,22039,22036,22035,22034,21961,
1657587306.061971,A
1657587306.0629687,21772,1364,1346,1368,21908,22044,22045,22031,22034,22030,22726,22032,22033,22033,22028,21960,
1657587306.0629687,A
1657587306.0639691,21772,1364,1348,1368,21911,22045,22042,22036,22039,22034,22032,22035,22036,22036,22034,21964,
1657587306.0639691,A
1657587306.0659592,21775,1364,1347,1368,21911,22039,22117,22041,22038,22042,22031,22042,22038,22040,22035,21958,
1657587306.0659592,A
1657587306.0669556,21773,1364,1348,1368,21912,22038,22040,22032,22042,22040,22040,22041,22039,22039,22036,21966,
1657587306.0669556,A
1657587306.0679548,21778,1364,1347,1368,21913,22046,22034,22036,22043,22039,22038,22038,22052,22036,22033,21967,
1657587306.0679548,A
1657587306.0689504,21777,1363,1348,1369,21905,22020,22043,22032,22040,22039,22033,22031,22033,22033,22029,21959,
1657587306.0689504,A
1657587306.0699472,21778,1364,1348,1368,21906,22039,22035,22044,22807,22032,22041,22043,22042,22042,22038,21968,
1657587306.0699472,A
1657587306.071949,21778,1364,1347,1367,21907,22036,22035,22033,22032,22030,22032,22726,22034,22034,22030,21967,
1657587306.071949,A
1657587306.0729396,21780,1364,1347,1369,21906,22036,22033,22037,22034,22031,22031,22035,22036,22035,22030,21971,
1657587306.0729396,A
1657587306.0739639,21781,1364,1348,1369,21910,22046,22041,22292,22042,22041,22031,22031,22039,22039,22035,21964,
1657587306.0739639,A
1657587306.0749066,21775,1364,1348,1369,21913,22041,22043,22040,22032,22039,22147,22040,22040,22040,22035,21961,
1657587306.0749066,A
1657587306.0759346,21778,1363,1346,1370,21910,22045,22042,22039,22040,22038,22039,22041,22042,22183,22038,21965,
1657587306.0759346,A
1657587306.0769298,21778,1364,1346,1369,21903,22045,22045,22032,22038,22035,22035,22035,22034,22034,22029,21966,
1657587306.0769298,A
1657587306.0779297,21772,1362,1348,1368,21914,22036,22035,22035,22036,22697,22037,22034,22032,22035,22035,21959,
1657587306.0779297,A
1657587306.0788958,21774,1363,1347,1368,21907,22040,22038,22033,22040,22040,22041,22032,22872,22034,22029,21958,
1657587306.0799215,A
1657587306.080918,21781,1364,1349,1367,21916,22041,22044,22039,22035,22033,22033,22032,22032,22039,22036,21958,
1657587306.080918,A
1657587306.0818877,21778,1364,1348,1367,21904,22036,22044,22035,22244,22032,22042,22033,22032,22031,22035,21960,
1657587306.0818877,A
1657587306.082918,21780,1364,1348,1371,21916,22035,22043,22035,22035,22038,22030,22103,22039,22039,22035,21964,
1657587306.082918,A
1657587306.0839143,21779,1364,1348,1368,21915,22044,22044,22042,22042,22039,22040,22033,22042,22041,22241,21966,
1657587306.0839143,A
1657587306.0849078,21776,1362,1348,1368,21913,22044,22033,22034,22033,22040,22041,22041,22041,22035,22035,21966,
1657587306.0849078,A
1657587306.0859377,21772,1363,1346,1368,21906,22036,22042,22042,22034,22032,22526,22042,22042,22033,22039,21958,
1657587306.0859377,A
1657587306.0869656,21781,1362,1348,1367,21905,22039,22040,22035,22035,22031,22042,22042,22032,22701,22038,21968,
1657587306.0869656,A
1657587306.0879626,21775,1364,1348,1369,21912,22045,22042,22039,22041,22039,22040,22042,22041,22041,22029,21960,
1657587306.0879626,A
1657587306.0889323,21779,1364,1348,1368,21905,22038,22036,22035,22042,22428,22039,22040,22039,22043,22037,21964,
1657587306.0889323,A
1657587306.090936,21776,1363,1347,1367,21910,22043,22034,22039,22043,22040,22037,22036,22147,22039,22036,21957,
1657587306.090936,A
1657587306.0919244,21781,1362,1347,1369,21915,22046,22044,22033,22034,22039,22036,22033,22035,22043,22035,22145,
1657587306.0919244,A
1657587306.0939178,21775,1363,1347,1368,21910,22043,22041,22042,22035,22039,22032,22038,22035,22036,22033,21964,
1657587306.0939178,A
1657587306.0949435,21775,1364,1348,1369,21911,22044,22035,22042,22039,22035,22041,22209,22037,22040,22035,21965,
1657587306.0949435,A
1657587306.0959136,21779,1364,1348,1368,21910,22036,22036,22042,22034,22039,22037,22040,22035,22035,22842,21964,
1657587306.0959136,A
1657587306.096946,21775,1362,1346,1368,21912,22040,22039,22035,22038,22038,22031,22042,22035,22035,22029,21968,
1657587306.096946,A
1657587306.0979388,21781,1364,1346,1368,21906,22042,22037,22035,22037,22034,22181,22036,22032,22040,22029,21959,
1657587306.0979388,A
1657587306.0989356,21772,1364,1349,1367,21910,22045,22041,22042,22040,22039,22039,22039,22039,22322,22032,21960,
1657587306.0989356,A
1657587306.0999022,21774,1364,1347,1368,21907,22039,22043,22038,22039,22039,22039,22037,22039,22039,22034,21966,
1657587306.0999022,A
1657587306.1018968,21871,1363,1348,1368,21908,22042,22038,22035,22041,22035,22038,22039,22034,22036,22033,21965,
1657587306.1018968,A
